"fips_code","popsize"
"20195",2840
"20197",6889
"20199",1574
"20201",5493
"20203",2130
"20205",8688
"20207",3157
"20209",164861
"21001",19222
"21003",20944
"21005",22409
"21007",8032
"21009",43884
"21011",12355
"21013",26791
"21015",130820
"21017",20058
"21019",47682
"21021",29972
"21023",8305
"21025",12977
"21027",20176
"21029",80171
"21031",12764
"21033",12702
"21035",38837
"21037",92861
"21039",4784
"21041",10671
"21043",27159
"21045",15885
"21047",71414
"21049",35971
"21051",20368
"21053",10193
"21055",9000
"21057",6697
"21059",100474
"21061",12138
"21063",7510
"21065",14224
"21067",320601
"21069",14513
"21071",36456
"21073",50529
"21075",6130
"21077",8737
"21079",17445
"21081",24951
"21083",37248
"21085",26247
"21087",10979
"21089",35555
"21091",8720
"21093",108527
"21095",26699
"21097",18722
"21099",18729
"21101",45829
"21103",15911
"21105",4510
"21107",45331
"21109",13369
"21111",767419
"21113",53032
"21115",22634
"21117",165668
"21119",15260
"21121",31365
"21123",14204
"21125",60357
"21127",15671
"21129",6881
"21131",10283
"21133",22295
"21135",13417
